timestamp,group_id,dns_resolution_s,request_id,tcp_connect_s,tls_handshake_s,time_to_first_byte_s,total_request_time_s,http_status,content_length,x_lodbrok_cell,x_cache
2025-07-23T15:52:40.919080,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI0MjM5MTQyIn0,0.003946,b2ff3445-f1c0-4cae-93f7-668662f810b6,0.012316,0.065935,0.584432,0.586423,200,11352,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:41.675277,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIzNzQ3MjQ3In0,0.005344,30f68a1e-cf80-4797-a980-31723a512742,0.013683,0.069556,0.68912,0.731327,200,100527,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:42.478286,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI2NjAifQ,0.002625,a8ecac0e-eb58-49e0-bd8e-5b4378702f8b,0.01112,0.074441,0.759785,0.78537,200,41122,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:43.498992,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMTkzODg2MjQ4OTYifQ,0.004661,3a195621-d5da-4107-9a53-e0cbce76ad48,0.014726,0.080727,0.978917,0.998256,200,96161,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:44.095149,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI2NTE3ODgwNDIyNCJ9,0.003922,a03add19-ff61-402a-9fc5-dd83a977f79c,0.012314,0.058251,0.567481,0.569857,200,21273,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:44.722989,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMjAzMzU3OTQxNzYifQ,0.004035,abf4f95e-4160-44e8-883d-f09602e36cd4,0.012464,0.062975,0.564233,0.600118,200,36815,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:45.219904,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMjAxNDc0In0,0.00271,e7716cb9-3cf0-484e-8016-0c02d13967db,0.010915,0.059351,0.474885,0.475585,200,9872,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:46.148192,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI3OTgzNTM5ODE0NCJ9,0.002773,eb70983c-ac9d-42ff-93dd-efa8f5266d08,0.011345,0.067065,0.897832,0.907424,200,69492,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:46.876661,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNzY5MTA2MyJ9,0.003928,b71b2ddb-7988-4e80-93b5-9cbc781082ac,0.01242,0.069081,0.634376,0.705683,200,61267,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:47.575405,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNTAwNDY4MiJ9,0.002943,8f62e166-26d2-49b4-a43d-720a3109a5cd,0.013575,0.068751,0.674187,0.675505,200,17121,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:48.282431,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI0ODQ2MTcwOTMxMiJ9,0.003316,8e19365c-9a0a-4ede-a4ac-f463e8c6a962,0.011756,0.07255,0.674591,0.675972,200,22025,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:49.453863,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI1MTU4MTcyMjYyNCJ9,0.006098,7b93717f-62af-4a57-a5b0-aa317d72a7f4,0.01479,0.068125,1.041024,1.146717,200,180506,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:50.354156,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMDY3Njg1NyJ9,0.003041,969aa544-277d-477e-bfe4-5d004faa9f19,0.012279,0.073274,0.803902,0.87362,200,79784,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:51.397506,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMDI1NjE4NjM2OCJ9,0.003649,6f0094fd-eb98-4951-95f9-aa9977cba99f,0.012257,0.057907,0.984222,1.015579,200,159367,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:51.989743,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI3NTk2ODU4NTcyOCJ9,0.003411,5fb91707-6db4-4f5d-b94c-709a108ea1f2,0.011855,0.081215,0.553342,0.563335,200,27304,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:52.606248,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIzODQ4NiJ9,0.004199,f5759e87-ac39-4fa8-9779-1424990169b2,0.012437,0.069198,0.577477,0.587968,200,29699,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:53.303937,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI2OTYyOTg3ODI3MiJ9,0.002685,4abc3771-7bd7-40b4-8a19-eb2735aa9806,0.010959,0.064941,0.637928,0.671786,200,30093,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:53.824543,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNDQyODcyNiJ9,0.003271,f526519e-fad8-418f-9e81-1f8fc845b872,0.012061,0.07518,0.486553,0.488277,200,10215,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:54.546291,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNTUyNDQzOCJ9,0.003614,e817f4e4-54ba-4ac9-b21a-82a82c8e2f0e,0.012082,0.079408,0.692214,0.69372,200,11899,prod_central_1-c1,CONFIG_NOCACHE
